Current Firmware,3.30,MAC,b4:8a:0a:4f:57:24,ChipID,121917472,Updated,20230810 00:09:21,Short Chip ID,7472
Current Firmware,3.30,MAC,b4:8a:0a:4d:03:f0,ChipID,54526192,Updated,20230810 00:10:05,Short Chip ID,6192
Current Firmware,3.30,MAC,b4:8a:0a:4f:a0:c8,ChipID,4759744,Updated,20230810 00:10:51,Short Chip ID,9744
Current Firmware,3.30,MAC,b4:8a:0a:4c:d6:ac,ChipID,105697440,Updated,20230810 00:11:38,Short Chip ID,7440
Current Firmware,3.30,MAC,40:22:d8:e0:6f:44,ChipID,266625088,Updated,20230810 00:12:22,Short Chip ID,5088
Current Firmware,3.30,MAC,b4:8a:0a:4f:29:68,ChipID,155721824,Updated,20230810 00:13:05,Short Chip ID,1824
Current Firmware,3.30,MAC,b4:8a:0a:4c:06:6c,ChipID,105644128,Updated,20230810 00:13:50,Short Chip ID,4128
Current Firmware,3.30,MAC,b4:8a:0a:4f:a2:40,ChipID,37789760,Updated,20230810 00:14:35,Short Chip ID,9760
Current Firmware,3.30,MAC,b4:8a:0a:4d:53:c4,ChipID,54808768,Updated,20230810 00:15:19,Short Chip ID,8768
Current Firmware,3.30,MAC,b4:8a:0a:4c:1c:d8,ChipID,206049488,Updated,20230810 00:16:02,Short Chip ID,9488
Current Firmware,3.30,MAC,b4:8a:0a:4d:cd:a8,ChipID,222871712,Updated,20230810 00:16:49,Short Chip ID,1712
Current Firmware,3.30,MAC,b4:8a:0a:4e:94:50,ChipID,71340112,Updated,20230810 00:17:32,Short Chip ID,0112
Current Firmware,3.30,MAC,b4:8a:0a:4c:a4:ec,ChipID,72130784,Updated,20230810 00:18:17,Short Chip ID,0784
Current Firmware,3.30,MAC,b4:8a:0a:4e:f8:34,ChipID,138735664,Updated,20230810 00:19:02,Short Chip ID,5664
Current Firmware,3.30,MAC,40:22:d8:e0:6f:34,ChipID,266625072,Updated,20230810 00:19:46,Short Chip ID,5072
Current Firmware,3.30,MAC,40:22:d8:e0:6f:14,ChipID,266625040,Updated,20230810 00:20:30,Short Chip ID,5040
Current Firmware,3.30,MAC,b4:8a:0a:4d:59:20,ChipID,155209760,Updated,20230810 00:21:11,Short Chip ID,9760
Current Firmware,3.30,MAC,b4:8a:0a:4e:b8:fc,ChipID,139243760,Updated,20230810 00:22:00,Short Chip ID,3760
Current Firmware,3.30,MAC,b4:8a:0a:4b:f6:f4,ChipID,105181424,Updated,20230810 00:22:44,Short Chip ID,1424
Current Firmware,3.30,MAC,b4:8a:0a:4d:c4:9c,ChipID,72138896,Updated,20230810 00:23:30,Short Chip ID,8896
Current Firmware,3.30,MAC,40:22:d8:e0:6f:c4,ChipID,266625216,Updated,20230810 00:24:42,Short Chip ID,5216
Current Firmware,3.30,MAC,40:22:d8:e0:6f:ec,ChipID,267149536,Updated,20230810 00:25:24,Short Chip ID,9536
Current Firmware,3.30,MAC,40:22:d8:e0:6f:c0,ChipID,266363072,Updated,20230810 00:26:08,Short Chip ID,3072
Current Firmware,3.30,MAC,b4:8a:0a:4e:c0:a4,ChipID,4505760,Updated,20230810 00:26:52,Short Chip ID,5760
Current Firmware,3.30,MAC,b4:8a:0a:4f:9f:1c,ChipID,256675856,Updated,20230810 00:27:36,Short Chip ID,5856
Current Firmware,3.30,MAC,b4:8a:0a:4f:81:38,ChipID,21528624,Updated,20230810 00:28:19,Short Chip ID,8624
Current Firmware,3.30,MAC,b4:8a:0a:4d:4c:24,ChipID,205799456,Updated,20230810 00:29:02,Short Chip ID,9456
Current Firmware,3.30,MAC,b4:8a:0a:4c:60:2c,ChipID,5005344,Updated,20230810 00:29:45,Short Chip ID,5344
Current Firmware,3.30,MAC,b4:8a:0a:4c:a4:90,ChipID,71344272,Updated,20230810 00:30:30,Short Chip ID,4272
Current Firmware,3.30,MAC,b4:8a:0a:4e:13:9c,ChipID,55316624,Updated,20230810 00:31:17,Short Chip ID,6624
Current Firmware,3.30,MAC,b4:8a:0a:4f:a1:18,ChipID,21536784,Updated,20230810 00:32:03,Short Chip ID,6784
Current Firmware,3.30,MAC,b4:8a:0a:4c:29:a8,ChipID,155721888,Updated,20230810 00:33:27,Short Chip ID,1888
Current Firmware,3.30,MAC,b4:8a:0a:4c:a4:e0,ChipID,71344352,Updated,20230810 00:34:13,Short Chip ID,4352
Current Firmware,3.30,MAC,b4:8a:0a:4f:9f:3c,ChipID,256675888,Updated,20230810 00:34:56,Short Chip ID,5888
Current Firmware,3.30,MAC,b4:8a:0a:4d:de:70,ChipID,239128688,Updated,20230810 00:35:39,Short Chip ID,8688
